"Freq [GHz]","Phi [deg]","Theta [deg]","GainTotal []"
3.76,90,-119,1.62504973416454
3.76,90,-118,1.61877583446408
3.76,90,-117,1.61265732600068
3.76,90,-116,1.60669885130194
3.76,90,-115,1.60090478691674
3.76,90,-114,1.59527924963865
3.76,90,-113,1.58982610319914
3.76,90,-112,1.58454896531608
3.76,90,-111,1.57945121498957
3.76,90,-110,1.57453599994534
3.76,90,-109,1.56980624413487
3.76,90,-108,1.56526465521127
3.76,90,-107,1.56091373191035
3.76,90,-106,1.55675577127669
3.76,90,-105,1.55279287568496
3.76,90,-104,1.54902695961715
3.76,90,-103,1.54545975616577
3.76,90,-102,1.54209282324218
3.76,90,-101,1.53892754947731
3.76,90,-100,1.53596515980911
3.76,90,-99,1.53320672075694
3.76,90,-98,1.53065314538818
3.76,90,-97,1.5283051979855
3.76,90,-96,1.52616349842587
3.76,90,-95,1.5242285262832
3.76,90,-94,1.52250062466667
3.76,90,-93,1.52098000380512
3.76,90,-92,1.51966674438602
3.76,90,-91,1.51856080065419
3.76,90,-90,1.51766200327129
3.76,90,-89,1.51697006193291
3.76,90,-88,1.51648456773459
3.76,90,-87,1.51620499527321
3.76,90,-86,1.51613070446456
3.76,90,-85,1.51626094205249
3.76,90,-84,1.5165948427805
3.76,90,-83,1.51713143019158
3.76,90,-82,1.51786961701879
3.76,90,-81,1.51880820512579
3.76,90,-80,1.51994588495488
3.76,90,-79,1.52128123443932
3.76,90,-78,1.5228127173373
3.76,90,-77,1.52453868094728
3.76,90,-76,1.52645735316761
3.76,90,-75,1.52856683886914
3.76,90,-74,1.53086511555594
3.76,90,-73,1.53335002829808
3.76,90,-72,1.53601928393032
3.76,90,-71,1.53887044452221
3.76,90,-70,1.54190092013813
3.76,90,-69,1.54510796091987
3.76,90,-68,1.54848864853965
3.76,90,-67,1.55203988708737
3.76,90,-66,1.55575839347243
3.76,90,-65,1.559640687437
3.76,90,-64,1.56368308129434
3.76,90,-63,1.56788166952132
3.76,90,-62,1.57223231834999
3.76,90,-61,1.57673065551629
3.76,90,-60,1.58137206033661
3.76,90,-59,1.58615165429272
3.76,90,-58,1.59106429231352
3.76,90,-57,1.59610455494704
3.76,90,-56,1.60126674161809
3.76,90,-55,1.60654486516583
3.76,90,-54,1.61193264785069
3.76,90,-53,1.61742351901207
3.76,90,-52,1.62301061454611
3.76,90,-51,1.62868677835767
3.76,90,-50,1.63444456592143
3.76,90,-49,1.64027625006514
3.76,90,-48,1.64617382906236
3.76,90,-47,1.65212903709436
3.76,90,-46,1.65813335711049
3.76,90,-45,1.66417803608427
3.76,90,-44,1.67025410262904
3.76,90,-43,1.67635238690335
3.76,90,-42,1.68246354270185
3.76,90,-41,1.68857807159436
3.76,90,-40,1.69468634894349
3.76,90,-39,1.70077865160108
3.76,90,-38,1.70684518705582
3.76,90,-37,1.71287612378012
3.76,90,-36,1.718861622503
3.76,90,-35,1.72479186811933
3.76,90,-34,1.73065710193291
3.76,90,-33,1.73644765392373
3.76,90,-32,1.74215397472689
3.76,90,-31,1.74776666701309
3.76,90,-30,1.75327651596832
3.76,90,-29,1.75867451858258
3.76,90,-28,1.76395191147492
3.76,90,-27,1.76910019700328
3.76,90,-26,1.77411116743382
3.76,90,-25,1.77897692697285
3.76,90,-24,1.78368991149721
3.76,90,-23,1.78824290585298
3.76,90,-22,1.79262905862897
3.76,90,-21,1.79684189434819
3.76,90,-20,1.80087532305877
3.76,90,-19,1.8047236473424
3.76,90,-18,1.80838156679533
3.76,90,-17,1.81184418007098
3.76,90,-16,1.81510698460644
3.76,90,-15,1.81816587418426
3.76,90,-14,1.82101713450797
3.76,90,-13,1.82365743699241
3.76,90,-12,1.82608383098931
3.76,90,-11,1.82829373468301
3.76,90,-10,1.83028492490237
3.76,90,-9,1.83205552610041
3.76,90,-8,1.83360399875539
3.76,90,-7,1.83492912744443
3.76,90,-6,1.83603000883359
3.76,90,-5,1.83690603981802
3.76,90,-4,1.83755690603101
3.76,90,-3,1.83798257092288
3.76,90,-2,1.83818326558982
3.76,90,-1,1.83815947950916
3.76,90,0,1.83791195231191
3.76,90,1,1.83744166669572
3.76,90,2,1.83674984255299
3.76,90,3,1.8358379323591
3.76,90,4,1.83470761783607
3.76,90,5,1.8333608078774
3.76,90,6,1.83179963769102
3.76,90,7,1.83002646908923
3.76,90,8,1.82804389182883
3.76,90,9,1.82585472588001
3.76,90,10,1.82346202448118
3.76,90,11,1.82086907781758
3.76,90,12,1.81807941714571
3.76,90,13,1.81509681917283
3.76,90,14,1.81192531049164
3.76,90,15,1.80856917186474
3.76,90,16,1.80503294215174
3.76,90,17,1.80132142167404
3.76,90,18,1.797439674818
3.76,90,19,1.79339303168729
3.76,90,20,1.78918708862773
3.76,90,21,1.78482770746505
3.76,90,22,1.7803210133153
3.76,90,23,1.7756733908499
3.76,90,24,1.77089147892233
3.76,90,25,1.76598216348969
3.76,90,26,1.76095256879058
3.76,90,27,1.75581004676965
3.76,90,28,1.75056216476855
3.76,90,29,1.74521669153186
3.76,90,30,1.73978158160555
3.76,90,31,1.7342649582321
3.76,90,32,1.7286750948723
3.76,90,33,1.72302039550646
3.76,90,34,1.71730937388867
3.76,90,35,1.71155063194462
3.76,90,36,1.70575283751781
3.76,90,37,1.69992470167906
3.76,90,38,1.69407495582087
3.76,90,39,1.6882123287605
3.76,90,40,1.68234552407467
3.76,90,41,1.67648319788298
3.76,90,42,1.67063393728894
3.76,90,43,1.66480623967454
3.76,90,44,1.65900849302914
3.76,90,45,1.653248957475
3.76,90,46,1.64753574813128
3.76,90,47,1.64187681943538
3.76,90,48,1.63627995101703
3.76,90,49,1.6307527351951
3.76,90,50,1.62530256614217
3.76,90,51,1.6199366307364
3.76,90,52,1.61466190109588
3.76,90,53,1.60948512876672
3.76,90,54,1.60441284051436
3.76,90,55,1.59945133564703
3.76,90,56,1.59460668478219
3.76,90,57,1.58988472995108
3.76,90,58,1.58529108592327
3.76,90,59,1.58083114262263
3.76,90,60,1.57651006849842
3.76,90,61,1.57233281471039
3.76,90,62,1.56830411998433
3.76,90,63,1.5644285159952
3.76,90,64,1.56071033313741
3.76,90,65,1.55715370654714
3.76,90,66,1.55376258224836
3.76,90,67,1.55054072330305
3.76,90,68,1.54749171585612
3.76,90,69,1.54461897497683
3.76,90,70,1.54192575021045
3.76,90,71,1.53941513076644
3.76,90,72,1.53709005028224
3.76,90,73,1.53495329111429
3.76,90,74,1.53300748812035
3.76,90,75,1.53125513190888
3.76,90,76,1.52969857154229
3.76,90,77,1.52834001669099
3.76,90,78,1.52718153924419
3.76,90,79,1.52622507439102
3.76,90,80,1.52547242119252
3.76,90,81,1.52492524266996
3.76,90,82,1.52458506543912
3.76,90,83,1.5244532789228
3.76,90,84,1.5245311341754
3.76,90,85,1.52481974235346
3.76,90,86,1.5253200728656
3.76,90,87,1.52603295123338
3.76,90,88,1.52695905669203
3.76,90,89,1.52809891955684
3.76,90,90,1.52945291837736
